crime_id,crime_month,crime_city,crime_type,severity_level,victim_count,current_status
24236,2018-10-01,El Paso,Arson,5,5,Closed
14634,2021-09-01,Boston,Robbery,7,5,Pending
14725,2022-02-01,Houston,Robbery,2,2,Pending
58123,2021-09-01,Dallas,Vehicle Theft,5,4,Investigating
81965,2020-08-01,Los Angeles,Kidnapping,3,4,Pending
966,2021-05-01,New York,Robbery,5,5,Pending
15886,2023-06-01,Boston,Vehicle Theft,6,5,Investigating
12300,2018-08-01,San Antonio,Vandalism,1,4,Investigating
70367,2021-07-01,Indianapolis,Kidnapping,10,3,Closed
56173,2020-01-01,San Jose,Vandalism,4,5,Investigating
48094,2020-07-01,New York,Robbery,4,5,Pending
6108,2018-10-01,San Diego,Homicide,6,1,Closed
90559,2022-01-01,San Antonio,Sexual Assault,7,2,Pending
91980,2021-08-01,Philadelphia,Arson,7,4,Investigating
35066,2018-08-01,Washington,Burglary,9,2,Investigating
9027,2021-02-01,New York,Cybercrime,4,2,Investigating
55896,2021-04-01,San Antonio,Vehicle Theft,7,5,Pending
51448,2019-05-01,Phoenix,Shoplifting,1,5,Investigating
75279,2019-03-01,San Antonio,Sexual Assault,3,5,Investigating
58560,2020-04-01,San Francisco,Arson,5,5,Pending
91482,2019-02-01,New York,Robbery,5,2,Pending
42320,2021-11-01,Phoenix,Arson,9,2,Closed
75423,2020-04-01,Seattle,Vandalism,9,5,Pending
9285,2021-01-01,Houston,Assault,6,2,Pending
17360,2023-04-01,Dallas,Burglary,1,5,Pending
19200,2018-05-01,Houston,Drug Violation,7,1,Investigating
71563,2019-10-01,Philadelphia,Kidnapping,9,1,Investigating
42736,2023-01-01,Philadelphia,Vehicle Theft,8,5,Closed
41364,2019-06-01,Los Angeles,Sexual Assault,7,3,Investigating
95945,2022-07-01,New York,Arson,10,2,Pending
41679,2019-11-01,Houston,Arson,6,5,Pending
83182,2020-11-01,San Diego,Shoplifting,1,3,Investigating
69976,2021-06-01,Dallas,Arson,1,1,Pending
31014,2021-10-01,Dallas,Cybercrime,2,4,Pending
36955,2022-12-01,Austin,Homicide,9,2,Investigating
22945,2021-04-01,Denver,Vandalism,2,5,Closed
32573,2019-03-01,San Jose,Burglary,5,4,Closed
80108,2022-03-01,Jacksonville,Arson,6,1,Pending
26520,2019-11-01,Columbus,Vandalism,1,5,Closed
79820,2021-01-01,Dallas,Burglary,7,4,Closed
45129,2019-11-01,San Antonio,Vehicle Theft,9,2,Investigating
82305,2020-05-01,San Jose,Kidnapping,10,4,Investigating
44455,2021-06-01,El Paso,Kidnapping,3,4,Pending
72487,2022-01-01,Houston,Vehicle Theft,7,3,Investigating
95364,2018-01-01,Phoenix,Kidnapping,10,3,Pending
46571,2023-06-01,Chicago,Burglary,7,4,Investigating
82966,2020-08-01,New York,Assault,7,4,Investigating
36954,2019-08-01,Chicago,Kidnapping,2,4,Investigating
77384,2023-08-01,Columbus,Sexual Assault,3,3,Closed
30991,2023-05-01,Phoenix,Kidnapping,5,5,Investigating
9581,2022-12-01,San Diego,Kidnapping,6,2,Closed
35958,2021-10-01,Jacksonville,Vehicle Theft,6,5,Closed
71348,2019-10-01,San Diego,Vehicle Theft,10,5,Investigating
44175,2018-07-01,El Paso,Robbery,8,2,Investigating
91262,2019-09-01,San Diego,Sexual Assault,2,3,Closed
58926,2022-09-01,Washington,Burglary,1,3,Closed
12646,2021-08-01,Austin,Robbery,6,4,Pending
24345,2021-08-01,Indianapolis,Sexual Assault,5,1,Closed
69824,2018-11-01,Columbus,Vehicle Theft,7,4,Pending
51418,2021-09-01,San Antonio,Shoplifting,2,4,Pending
20764,2018-06-01,San Francisco,Kidnapping,10,4,Investigating
98188,2023-12-01,El Paso,Shoplifting,7,4,Pending
49795,2021-10-01,Dallas,Cybercrime,3,2,Investigating
8594,2018-01-01,Houston,Cybercrime,5,5,Pending
45482,2019-01-01,Washington,Burglary,2,4,Closed
12717,2018-04-01,San Jose,Vandalism,8,3,Closed
35713,2021-08-01,Washington,Cybercrime,5,3,Pending
30953,2021-05-01,Phoenix,Vehicle Theft,7,1,Closed
46230,2018-09-01,Houston,Vehicle Theft,3,2,Pending
88678,2023-09-01,San Diego,Drug Violation,5,3,Pending
46471,2018-01-01,San Jose,Vehicle Theft,4,1,Investigating
89838,2021-12-01,Austin,Assault,10,5,Investigating
32036,2019-04-01,Philadelphia,Arson,2,3,Investigating
43890,2018-10-01,Houston,Drug Violation,1,5,Closed
85763,2019-09-01,Austin,Homicide,7,3,Closed
73010,2022-04-01,Columbus,Arson,10,1,Investigating
99479,2021-07-01,San Antonio,Robbery,1,4,Closed
4064,2020-07-01,Phoenix,Robbery,6,5,Pending
90063,2020-05-01,San Diego,Vandalism,5,3,Pending
84232,2020-02-01,Chicago,Vandalism,9,5,Investigating
82888,2019-06-01,Chicago,Shoplifting,8,3,Pending
25092,2023-12-01,New York,Vandalism,3,4,Closed
11656,2023-09-01,Dallas,Burglary,10,1,Closed
69967,2020-05-01,San Antonio,Assault,3,5,Pending
2699,2022-12-01,Los Angeles,Assault,2,2,Investigating
82877,2023-01-01,San Diego,Cybercrime,2,4,Closed
7152,2019-09-01,San Antonio,Arson,10,3,Investigating
38080,2022-02-01,Philadelphia,Robbery,8,1,Pending
34631,2023-09-01,Austin,Cybercrime,3,5,Closed
16048,2023-01-01,San Francisco,Arson,7,2,Closed
67004,2023-01-01,San Francisco,Cybercrime,4,4,Pending
6576,2020-08-01,Indianapolis,Kidnapping,6,1,Pending
25780,2021-04-01,Dallas,Robbery,4,5,Pending
44590,2023-07-01,Houston,Kidnapping,4,1,Investigating
25985,2021-07-01,San Jose,Vandalism,9,2,Closed
83381,2021-10-01,Houston,Vehicle Theft,3,1,Investigating
74299,2019-03-01,Columbus,Arson,4,3,Closed
69084,2022-11-01,Los Angeles,Fraud,5,3,Closed
50626,2018-01-01,Boston,Arson,8,3,Pending
12585,2018-12-01,New York,Sexual Assault,10,4,Pending
34300,2019-01-01,Los Angeles,Robbery,3,4,Pending
10744,2022-08-01,San Diego,Fraud,7,2,Investigating
39887,2020-01-01,San Diego,Drug Violation,5,5,Pending
80171,2019-01-01,San Jose,Shoplifting,8,1,Pending
58641,2021-07-01,Chicago,Fraud,7,2,Closed
33349,2023-03-01,Los Angeles,Burglary,9,3,Closed
65748,2022-02-01,Phoenix,Shoplifting,6,4,Pending
19693,2022-11-01,San Diego,Homicide,1,4,Closed
9904,2019-08-01,Los Angeles,Drug Violation,9,5,Pending
97177,2019-05-01,Chicago,Sexual Assault,8,2,Closed
28667,2018-10-01,Phoenix,Kidnapping,3,5,Pending
5801,2021-03-01,New York,Shoplifting,8,2,Pending
29607,2018-10-01,Jacksonville,Drug Violation,2,3,Closed
47612,2020-01-01,San Jose,Arson,8,4,Investigating
43100,2020-09-01,San Antonio,Arson,7,5,Closed
35910,2018-08-01,Washington,Drug Violation,2,4,Pending
28499,2019-03-01,Seattle,Homicide,5,2,Closed
94329,2023-01-01,San Diego,Burglary,7,3,Closed
65182,2023-04-01,Phoenix,Homicide,4,2,Closed
97020,2022-08-01,Houston,Arson,3,4,Pending
25131,2021-10-01,Houston,Kidnapping,8,2,Pending
59281,2020-11-01,Phoenix,Burglary,7,4,Pending
70661,2018-04-01,Columbus,Sexual Assault,2,5,Closed
46942,2018-06-01,San Diego,Homicide,5,2,Pending
23320,2023-03-01,San Antonio,Robbery,5,1,Investigating
63300,2020-01-01,Philadelphia,Sexual Assault,4,5,Investigating
59798,2018-01-01,Houston,Robbery,9,1,Investigating
13502,2019-10-01,New York,Cybercrime,10,5,Pending
33002,2022-09-01,Phoenix,Shoplifting,2,2,Pending
20049,2022-02-01,San Diego,Cybercrime,10,4,Investigating
88771,2018-03-01,Indianapolis,Arson,4,2,Closed
12966,2022-05-01,Boston,Arson,1,2,Closed
92164,2023-12-01,Indianapolis,Kidnapping,10,5,Investigating
53253,2018-08-01,Los Angeles,Shoplifting,3,5,Closed
69363,2023-07-01,Washington,Fraud,5,1,Closed
83900,2020-06-01,Indianapolis,Homicide,5,1,Closed
60135,2023-02-01,Washington,Arson,2,5,Closed
69462,2020-12-01,Austin,Burglary,8,2,Pending
71260,2020-01-01,Philadelphia,Vehicle Theft,3,2,Closed
91380,2023-12-01,Chicago,Kidnapping,4,2,Closed
80359,2023-08-01,Houston,Fraud,6,1,Closed
92488,2021-08-01,San Diego,Burglary,9,5,Pending
10397,2023-12-01,New York,Burglary,2,3,Investigating
69272,2021-08-01,San Antonio,Burglary,2,1,Investigating
14582,2023-03-01,New York,Fraud,3,4,Pending
4755,2023-08-01,San Jose,Shoplifting,6,4,Investigating
12156,2018-05-01,San Jose,Homicide,4,2,Pending
25177,2021-09-01,Phoenix,Robbery,5,1,Pending
64986,2018-05-01,Philadelphia,Drug Violation,4,5,Closed
98621,2020-06-01,Washington,Burglary,6,2,Pending
83724,2023-10-01,Philadelphia,Burglary,5,4,Closed
65532,2020-10-01,San Antonio,Vehicle Theft,1,4,Investigating
27631,2019-12-01,San Antonio,Sexual Assault,8,2,Investigating
36424,2022-04-01,Seattle,Burglary,6,3,Pending
23421,2021-04-01,Phoenix,Kidnapping,8,1,Pending
14557,2023-10-01,Chicago,Arson,2,1,Investigating
75523,2022-02-01,Houston,Sexual Assault,3,5,Closed
51650,2023-09-01,San Jose,Robbery,5,4,Closed
67991,2023-11-01,El Paso,Vehicle Theft,4,3,Pending
49582,2021-11-01,Boston,Robbery,5,4,Closed
38168,2019-09-01,Los Angeles,Cybercrime,8,5,Pending
1387,2020-10-01,Los Angeles,Vehicle Theft,7,5,Investigating
60031,2020-08-01,Denver,Vehicle Theft,1,1,Investigating
88902,2021-06-01,Los Angeles,Shoplifting,5,1,Closed
60540,2023-03-01,New York,Sexual Assault,3,3,Investigating
77156,2021-11-01,San Jose,Homicide,1,4,Closed
79794,2022-05-01,Houston,Vehicle Theft,5,5,Pending
13740,2022-05-01,San Jose,Drug Violation,7,1,Pending
21955,2019-05-01,Chicago,Cybercrime,9,5,Investigating
88083,2020-12-01,Dallas,Drug Violation,7,3,Pending
92657,2023-08-01,New York,Arson,9,3,Closed
70321,2023-06-01,Philadelphia,Drug Violation,5,1,Pending
69801,2021-12-01,Philadelphia,Sexual Assault,10,1,Investigating
11478,2023-01-01,Philadelphia,Burglary,3,3,Pending
27196,2019-07-01,Philadelphia,Burglary,9,1,Closed
55404,2018-01-01,San Antonio,Cybercrime,10,4,Investigating
47073,2018-12-01,Washington,Assault,9,4,Investigating
62224,2019-01-01,San Jose,Vandalism,4,2,Closed
74444,2022-02-01,Boston,Sexual Assault,4,4,Closed
91263,2022-09-01,Phoenix,Assault,7,4,Investigating
77456,2023-08-01,Seattle,Sexual Assault,8,2,Investigating
24569,2021-03-01,Phoenix,Assault,7,3,Investigating
90089,2019-09-01,Dallas,Robbery,4,3,Investigating
79965,2020-02-01,San Antonio,Fraud,8,1,Closed
80121,2018-09-01,New York,Robbery,10,1,Investigating
7374,2022-06-01,San Francisco,Robbery,10,3,Investigating
77104,2021-12-01,San Diego,Sexual Assault,7,5,Closed
15445,2021-09-01,Boston,Drug Violation,5,2,Closed
31831,2020-02-01,Indianapolis,Cybercrime,4,2,Pending
71261,2022-04-01,San Diego,Arson,7,5,Pending
16833,2023-07-01,San Diego,Fraud,6,3,Closed
26836,2018-07-01,New York,Arson,8,1,Investigating
85525,2019-08-01,San Antonio,Drug Violation,6,3,Closed
43769,2021-10-01,Philadelphia,Vehicle Theft,9,1,Pending
27890,2023-07-01,Dallas,Shoplifting,4,5,Pending
57018,2023-07-01,New York,Shoplifting,9,4,Closed
16890,2019-05-01,San Antonio,Burglary,8,3,Investigating
97744,2020-04-01,Los Angeles,Cybercrime,7,5,Investigating
37299,2019-02-01,Seattle,Cybercrime,3,4,Closed
28453,2023-12-01,San Jose,Assault,1,2,Investigating
37783,2023-08-01,El Paso,Arson,4,2,Pending
58815,2018-05-01,Washington,Cybercrime,3,5,Investigating
15832,2020-03-01,Philadelphia,Homicide,2,5,Closed
35668,2023-01-01,Los Angeles,Vandalism,6,2,Pending
67202,2019-05-01,Houston,Shoplifting,4,5,Closed
79662,2023-05-01,Houston,Assault,4,1,Closed
6645,2020-10-01,Austin,Sexual Assault,4,1,Pending
42121,2019-09-01,Jacksonville,Fraud,5,1,Investigating
38939,2023-06-01,Phoenix,Cybercrime,10,5,Closed
32041,2019-05-01,Dallas,Shoplifting,10,3,Pending
31575,2018-03-01,San Antonio,Fraud,6,4,Pending
53397,2020-12-01,Denver,Drug Violation,5,5,Investigating
18859,2018-01-01,Phoenix,Vandalism,3,4,Investigating
49000,2019-04-01,Washington,Kidnapping,5,3,Pending
94143,2020-10-01,Dallas,Vehicle Theft,5,5,Closed
30141,2022-11-01,Phoenix,Shoplifting,5,4,Pending
69566,2022-03-01,San Francisco,Vandalism,6,5,Investigating
68703,2021-11-01,Boston,Assault,3,5,Investigating
73866,2023-01-01,Dallas,Assault,5,1,Closed
19027,2021-04-01,Chicago,Assault,5,1,Investigating
38871,2020-11-01,New York,Sexual Assault,8,1,Investigating
31841,2018-05-01,Washington,Robbery,10,4,Closed
98033,2020-09-01,New York,Drug Violation,5,5,Closed
57102,2019-10-01,San Diego,Sexual Assault,8,4,Pending
15991,2022-03-01,Phoenix,Vandalism,4,2,Pending
4535,2020-04-01,San Diego,Drug Violation,7,5,Investigating
47273,2021-05-01,Boston,Vehicle Theft,7,2,Investigating
34001,2018-05-01,Jacksonville,Robbery,6,1,Investigating
54103,2022-12-01,Dallas,Sexual Assault,8,2,Closed
57918,2019-08-01,Philadelphia,Fraud,4,3,Closed
59225,2020-10-01,San Diego,Drug Violation,6,2,Closed
21959,2020-12-01,Houston,Arson,7,5,Pending
49593,2023-12-01,Chicago,Sexual Assault,2,4,Investigating
74290,2021-12-01,Seattle,Homicide,5,2,Pending
23436,2022-09-01,San Antonio,Vehicle Theft,6,1,Pending
33129,2019-01-01,Washington,Arson,3,5,Investigating
1246,2022-10-01,Austin,Shoplifting,10,2,Pending
75878,2018-03-01,Seattle,Sexual Assault,7,1,Closed
88891,2021-10-01,Chicago,Vehicle Theft,5,3,Pending
67630,2023-10-01,Houston,Sexual Assault,5,1,Pending
10416,2019-07-01,Austin,Cybercrime,1,1,Investigating
16299,2018-07-01,Los Angeles,Assault,8,1,Investigating
26677,2022-02-01,Los Angeles,Cybercrime,10,2,Closed
77798,2018-02-01,Indianapolis,Sexual Assault,4,5,Closed
79105,2023-12-01,Phoenix,Burglary,4,5,Pending
5160,2019-05-01,San Francisco,Shoplifting,4,1,Closed
18621,2019-03-01,El Paso,Vehicle Theft,7,3,Pending
55365,2018-05-01,Dallas,Vandalism,5,3,Closed
27884,2021-12-01,New York,Cybercrime,9,2,Pending
82073,2019-04-01,San Francisco,Drug Violation,1,5,Closed
67824,2018-09-01,Jacksonville,Fraud,9,2,Closed
10707,2020-01-01,Houston,Kidnapping,1,5,Investigating
389,2021-09-01,Philadelphia,Vandalism,3,3,Pending
95748,2018-02-01,Seattle,Homicide,1,4,Investigating
62973,2023-04-01,Phoenix,Kidnapping,3,1,Closed
97711,2020-02-01,Dallas,Vehicle Theft,4,2,Pending
85389,2020-02-01,New York,Vehicle Theft,3,5,Closed
45797,2020-04-01,Boston,Drug Violation,2,5,Investigating
64511,2018-09-01,Houston,Vehicle Theft,10,5,Pending
73855,2019-02-01,Phoenix,Vehicle Theft,9,4,Investigating
26928,2021-03-01,San Antonio,Drug Violation,3,3,Closed
19247,2023-08-01,Phoenix,Robbery,9,2,Closed
53683,2020-06-01,Indianapolis,Vehicle Theft,5,4,Pending
94464,2021-07-01,Dallas,Cybercrime,8,4,Pending
88428,2023-02-01,San Francisco,Sexual Assault,4,4,Closed
71700,2020-02-01,Philadelphia,Kidnapping,1,2,Pending
2028,2020-09-01,Phoenix,Burglary,7,5,Investigating
26251,2022-09-01,Los Angeles,Fraud,7,2,Investigating
38565,2018-11-01,Chicago,Vandalism,10,1,Investigating
3880,2018-04-01,San Francisco,Drug Violation,1,5,Closed
34323,2018-12-01,New York,Drug Violation,9,5,Investigating
10787,2019-10-01,San Diego,Fraud,6,4,Closed
60992,2022-02-01,Los Angeles,Cybercrime,3,4,Investigating
80671,2019-09-01,Phoenix,Drug Violation,1,3,Investigating
46288,2020-07-01,New York,Sexual Assault,8,1,Closed
37309,2021-05-01,New York,Vehicle Theft,9,3,Pending
47466,2023-08-01,Washington,Homicide,8,2,Investigating
16755,2023-11-01,Columbus,Shoplifting,4,2,Investigating
90279,2020-11-01,Austin,Drug Violation,10,3,Investigating
40402,2022-10-01,New York,Sexual Assault,8,1,Investigating
98369,2023-05-01,San Antonio,Kidnapping,6,4,Investigating
46896,2019-03-01,Philadelphia,Drug Violation,2,4,Closed
22635,2020-10-01,Dallas,Robbery,4,5,Pending
27546,2020-11-01,San Jose,Vandalism,10,3,Investigating
54070,2019-07-01,Dallas,Robbery,5,3,Investigating
86476,2019-02-01,Chicago,Drug Violation,8,3,Pending
55804,2022-06-01,San Jose,Sexual Assault,2,1,Closed
48908,2019-12-01,Columbus,Burglary,4,5,Closed
24093,2019-03-01,San Jose,Kidnapping,6,3,Closed
87225,2023-11-01,San Diego,Cybercrime,10,4,Pending
20358,2023-09-01,Los Angeles,Homicide,10,3,Pending
11795,2021-04-01,Seattle,Cybercrime,5,4,Investigating
31777,2018-04-01,Austin,Arson,1,4,Closed
51147,2018-06-01,Dallas,Vandalism,3,2,Closed
82162,2018-09-01,Houston,Assault,6,4,Pending
5121,2022-02-01,El Paso,Shoplifting,3,5,Closed
13996,2020-03-01,New York,Robbery,6,1,Investigating
43913,2022-11-01,San Diego,Arson,8,5,Pending
31941,2022-08-01,Houston,Shoplifting,8,4,Closed
38364,2021-04-01,Washington,Robbery,7,1,Closed
83604,2022-10-01,Philadelphia,Burglary,3,1,Investigating
56253,2021-09-01,Philadelphia,Robbery,2,1,Investigating
82276,2022-11-01,Phoenix,Cybercrime,3,2,Closed
63358,2022-01-01,San Antonio,Burglary,6,2,Pending
4436,2020-12-01,El Paso,Vandalism,5,2,Investigating
98958,2021-05-01,San Francisco,Fraud,6,2,Pending
66196,2023-07-01,Washington,Shoplifting,5,5,Investigating
74484,2018-08-01,El Paso,Robbery,3,5,Pending
17364,2020-03-01,Indianapolis,Sexual Assault,4,4,Investigating
93303,2021-03-01,New York,Homicide,4,3,Closed
72519,2021-08-01,Washington,Burglary,8,3,Closed
8086,2022-04-01,San Jose,Sexual Assault,8,2,Pending
72609,2021-10-01,Philadelphia,Shoplifting,7,4,Investigating
13121,2020-02-01,Austin,Homicide,9,3,Pending
41842,2021-09-01,Boston,Assault,5,5,Investigating
36414,2023-10-01,Boston,Shoplifting,4,3,Closed
16156,2018-08-01,Seattle,Kidnapping,2,2,Pending
49753,2023-06-01,Philadelphia,Burglary,3,2,Pending
13518,2022-05-01,New York,Shoplifting,1,1,Investigating
2306,2021-06-01,Boston,Fraud,5,5,Closed
58653,2018-08-01,New York,Robbery,4,5,Closed
27920,2021-06-01,Houston,Cybercrime,5,5,Investigating
34808,2023-12-01,Philadelphia,Vehicle Theft,9,5,Pending
47564,2021-02-01,San Jose,Homicide,3,5,Investigating
14823,2022-06-01,Los Angeles,Assault,8,5,Pending
30490,2018-04-01,San Antonio,Cybercrime,2,5,Pending
97900,2021-12-01,Dallas,Drug Violation,3,1,Investigating
99220,2021-04-01,Indianapolis,Fraud,10,2,Closed
57086,2021-02-01,El Paso,Sexual Assault,3,4,Investigating
44424,2023-08-01,Los Angeles,Burglary,2,4,Pending
52354,2020-07-01,Phoenix,Robbery,9,3,Pending
56867,2023-06-01,New York,Arson,4,2,Investigating
69732,2021-11-01,San Diego,Sexual Assault,9,5,Investigating
65273,2019-05-01,El Paso,Shoplifting,9,4,Investigating
51945,2023-03-01,San Antonio,Homicide,6,5,Investigating
2273,2018-02-01,Dallas,Vandalism,10,5,Investigating
39936,2022-01-01,El Paso,Fraud,10,5,Investigating
76862,2019-06-01,Chicago,Vehicle Theft,5,3,Closed
63582,2022-02-01,Chicago,Homicide,9,2,Investigating
76757,2022-01-01,San Francisco,Assault,6,3,Closed
46989,2019-10-01,Seattle,Vandalism,2,3,Closed
71487,2019-05-01,Phoenix,Vehicle Theft,4,1,Investigating
24977,2022-03-01,Los Angeles,Cybercrime,8,5,Pending
31677,2022-06-01,New York,Fraud,8,3,Closed
4906,2018-01-01,Houston,Vandalism,6,3,Closed
67933,2023-11-01,San Antonio,Drug Violation,5,3,Pending
8759,2023-06-01,Philadelphia,Homicide,9,1,Investigating
29218,2023-03-01,Los Angeles,Burglary,2,2,Closed
20427,2020-02-01,Seattle,Vandalism,5,1,Closed
47567,2020-08-01,Dallas,Cybercrime,1,4,Pending
39910,2021-11-01,New York,Sexual Assault,7,2,Pending
11377,2022-12-01,Phoenix,Sexual Assault,8,1,Pending
74531,2018-05-01,San Diego,Robbery,1,2,Investigating
91346,2023-07-01,Indianapolis,Vandalism,9,2,Pending
16799,2022-03-01,Phoenix,Homicide,1,4,Investigating
76186,2020-11-01,Indianapolis,Burglary,3,2,Investigating
98780,2018-02-01,San Antonio,Kidnapping,5,5,Pending
14571,2021-06-01,Jacksonville,Robbery,10,1,Investigating
15818,2023-09-01,Phoenix,Homicide,3,3,Closed
66557,2022-03-01,New York,Drug Violation,6,5,Closed
69607,2019-08-01,New York,Kidnapping,8,2,Pending
68151,2020-02-01,Dallas,Arson,9,4,Pending
22454,2022-06-01,Phoenix,Kidnapping,6,1,Closed
68586,2020-08-01,Dallas,Homicide,3,1,Investigating
15238,2021-09-01,Indianapolis,Vehicle Theft,4,3,Pending
46607,2022-11-01,New York,Vehicle Theft,2,5,Investigating
81529,2023-11-01,Houston,Arson,9,4,Closed
79255,2020-10-01,Chicago,Burglary,3,4,Investigating
54035,2022-05-01,New York,Burglary,10,3,Pending
16472,2022-04-01,San Diego,Robbery,3,2,Closed
96714,2023-03-01,Phoenix,Burglary,4,5,Pending
97497,2020-06-01,New York,Burglary,6,3,Investigating
78404,2018-04-01,Indianapolis,Vehicle Theft,2,5,Closed
580,2023-01-01,Chicago,Fraud,3,4,Pending
48400,2022-06-01,New York,Sexual Assault,7,4,Investigating
77958,2022-07-01,Indianapolis,Assault,5,2,Pending
71694,2022-04-01,Seattle,Burglary,10,5,Pending
25310,2020-10-01,Denver,Shoplifting,7,4,Closed
26730,2022-09-01,San Jose,Drug Violation,1,1,Pending
21204,2021-11-01,El Paso,Cybercrime,6,2,Investigating
81995,2023-04-01,New York,Assault,4,5,Closed
79221,2021-07-01,Los Angeles,Cybercrime,3,4,Pending
89514,2023-11-01,San Antonio,Vehicle Theft,7,1,Investigating
96503,2018-11-01,San Jose,Vehicle Theft,3,4,Pending
94244,2019-12-01,Boston,Sexual Assault,4,2,Investigating
21924,2019-06-01,Houston,Homicide,8,3,Investigating
67626,2019-02-01,Seattle,Assault,3,2,Investigating
56224,2023-01-01,Chicago,Drug Violation,9,2,Pending
87247,2023-09-01,San Jose,Arson,1,4,Pending
51244,2019-09-01,Los Angeles,Arson,9,4,Closed
16971,2022-10-01,El Paso,Shoplifting,3,3,Pending
90687,2021-10-01,Houston,Vandalism,2,2,Pending
29,2019-07-01,San Francisco,Burglary,8,4,Pending
7365,2022-06-01,Boston,Homicide,8,2,Closed
66630,2019-07-01,San Diego,Vehicle Theft,5,4,Pending
68555,2019-01-01,New York,Sexual Assault,1,4,Investigating
42138,2018-12-01,Dallas,Sexual Assault,4,2,Closed
79073,2018-02-01,San Francisco,Assault,5,2,Investigating
34208,2020-09-01,Phoenix,Shoplifting,1,3,Closed
79733,2021-06-01,Houston,Cybercrime,6,4,Closed
41441,2019-03-01,Houston,Fraud,2,3,Pending
46729,2022-07-01,New York,Homicide,7,1,Closed
89025,2023-05-01,Chicago,Fraud,8,3,Pending
19965,2021-11-01,Boston,Kidnapping,10,5,Closed
77974,2019-09-01,Jacksonville,Arson,4,1,Closed
60874,2020-04-01,El Paso,Vandalism,7,5,Investigating
32362,2023-06-01,San Antonio,Fraud,2,4,Closed
43047,2020-11-01,Boston,Vehicle Theft,3,5,Closed
57270,2020-06-01,San Diego,Kidnapping,5,1,Closed
19634,2018-11-01,Phoenix,Fraud,4,2,Investigating
39036,2018-07-01,New York,Arson,1,1,Closed
72276,2022-05-01,Los Angeles,Fraud,1,5,Closed
55653,2022-12-01,San Antonio,Assault,7,1,Pending
84678,2022-08-01,San Jose,Fraud,3,5,Closed
51826,2023-01-01,Jacksonville,Burglary,4,1,Pending
33371,2022-09-01,San Diego,Vehicle Theft,6,5,Investigating
64277,2022-08-01,Los Angeles,Cybercrime,9,3,Pending
28606,2022-02-01,El Paso,Homicide,1,2,Closed
76203,2018-06-01,Phoenix,Burglary,5,5,Closed
51192,2022-01-01,Chicago,Assault,1,4,Closed
27926,2020-05-01,San Antonio,Vandalism,1,5,Investigating
11030,2022-08-01,El Paso,Burglary,2,1,Pending
58107,2020-04-01,Chicago,Robbery,10,4,Pending
34515,2020-07-01,San Diego,Arson,1,5,Pending
14805,2019-05-01,Seattle,Vandalism,1,2,Investigating
52357,2023-06-01,San Antonio,Kidnapping,6,5,Pending
8422,2022-09-01,San Antonio,Drug Violation,1,3,Pending
79227,2022-02-01,Philadelphia,Arson,3,1,Pending
