dr_no,area_name,crm_cd,crm_cd_desc,vict_age,vict_sex,vict_descent,premis_desc,status_desc
220904481,Van Nuys,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),21.0,F,H,HEALTH SPA/GYM,Invest Cont
202018792,Olympic,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),35.0,M,W,STREET,Invest Cont
211404045,Pacific,940.0,EXTORTION,21.0,M,A,HOTEL,Invest Cont
212017677,Olympic,210.0,ROBBERY,44.0,M,H,STREET,Invest Cont
221217493,77th Street,354.0,THEFT OF IDENTITY,42.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
200918319,Van Nuys,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,24.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
200715050,Wilshire,310.0,BURGLARY,19.0,M,O,OTHER BUSINESS,Invest Cont
200907917,Van Nuys,761.0,BRANDISH WEAPON,24.0,M,H,SIDEWALK,Invest Cont
211909972,Mission,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),39.0,M,H,OFFICE BUILDING/OFFICE,Invest Cont
201004622,West Valley,624.0,BATTERY - SIMPLE ASSAULT,68.0,F,H,SINGLE FAMILY DWELLING,Adult Other
201611679,Foothill,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),60.0,M,W,STREET,Invest Cont
221224166,77th Street,440.0,THEFT PLAIN - PETTY ($950 & UNDER),32.0,F,H,PORCH RESIDENTIAL,Invest Cont
210411835,Hollenbeck,330.0,BURGLARY FROM VEHICLE,29.0,F,H,LAUNDROMAT,Invest Cont
211510996,N Hollywood,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),60.0,M,W,PARKING LOT,Invest Cont
211214472,77th Street,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),39.0,M,H,SINGLE FAMILY DWELLING,Invest Cont
200518118,Harbor,901.0,VIOLATION OF RESTRAINING ORDER,41.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
221221324,77th Street,354.0,THEFT OF IDENTITY,29.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
220408268,Hollenbeck,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,37.0,M,H,STREET,Invest Cont
201312734,Newton,440.0,THEFT PLAIN - PETTY ($950 & UNDER),48.0,M,B,VEHICLE PASSENGER/TRUCK,Invest Cont
210714409,Wilshire,343.0,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),28.0,F,H,OTHER STORE,Invest Cont
210806232,West LA,330.0,BURGLARY FROM VEHICLE,41.0,M,H,STREET,Invest Cont
221004555,West Valley,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,40.0,M,H,SINGLE FAMILY DWELLING,Adult Arrest
222013669,Olympic,354.0,THEFT OF IDENTITY,35.0,F,W,SINGLE FAMILY DWELLING,Invest Cont
201211425,77th Street,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,22.0,F,B,OFFICE BUILDING/OFFICE,Invest Cont
201414490,Pacific,330.0,BURGLARY FROM VEHICLE,24.0,F,H,STREET,Invest Cont
210909093,Van Nuys,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),40.0,M,B,PARKING LOT,Invest Cont
221013077,West Valley,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),52.0,M,H,STREET,Invest Cont
221805872,Southeast,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,30.0,M,B,STREET,Invest Cont
211308889,Newton,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,55.0,F,H,STREET,Adult Arrest
212110647,Topanga,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,53.0,M,W,STREET,Invest Cont
200413213,Hollenbeck,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,32.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
200401155,Hollenbeck,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,44.0,M,H,AUTO REPAIR SHOP,Invest Cont
201918410,Mission,440.0,THEFT PLAIN - PETTY ($950 & UNDER),54.0,M,H,SIDEWALK,Invest Cont
210315390,Southwest,310.0,BURGLARY,22.0,M,A,SINGLE FAMILY DWELLING,Invest Cont
210814431,West LA,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,26.0,M,W,OTHER BUSINESS,Invest Cont
211107777,Northeast,624.0,BATTERY - SIMPLE ASSAULT,55.0,F,H,SINGLE FAMILY DWELLING,Adult Other
220619831,Hollywood,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,82.0,F,W,STREET,Adult Arrest
201216921,77th Street,662.0,BUNCO GRAND THEFT,23.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
202116153,Topanga,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),42.0,M,X,DEPARTMENT STORE,Invest Cont
212004216,Olympic,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,70.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211000915,West Valley,351.0,PURSE SNATCHING,51.0,F,A,PARKING LOT,Invest Cont
201917286,Mission,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,50.0,M,H,MARKET,Invest Cont
210704616,Wilshire,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),63.0,F,W,SIDEWALK,Invest Cont
210613402,Hollywood,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,36.0,M,B,STREET,Invest Cont
211411152,Pacific,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),24.0,F,O,PARKING LOT,Invest Cont
200108910,Central,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,39.0,F,B,HOSPITAL,Adult Other
211313703,Newton,624.0,BATTERY - SIMPLE ASSAULT,28.0,M,H,HEALTH SPA/GYM,Invest Cont
230112018,Central,121.0,RAPE FORCIBLE,27.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
201906234,Mission,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),27.0,F,H,STREET,Adult Other
200610782,Hollywood,624.0,BATTERY - SIMPLE ASSAULT,36.0,M,H,CONSTRUCTION SITE,Adult Arrest
220512305,Harbor,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,19.0,M,H,VEHICLE PASSENGER/TRUCK,Invest Cont
200609910,Hollywood,624.0,BATTERY - SIMPLE ASSAULT,39.0,M,O,STREET,Adult Other
201419998,Pacific,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,37.0,F,B,HOTEL,Invest Cont
210316475,Southwest,901.0,VIOLATION OF RESTRAINING ORDER,54.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211605750,Foothill,903.0,CONTEMPT OF COURT,47.0,F,H,SIDEWALK,Adult Arrest
202011848,Olympic,440.0,THEFT PLAIN - PETTY ($950 & UNDER),21.0,M,H,STREET,Invest Cont
220220900,Rampart,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),23.0,F,B,VEHICLE PASSENGER/TRUCK,Invest Cont
221819795,Southeast,624.0,BATTERY - SIMPLE ASSAULT,24.0,F,B,STREET,Adult Other
220123172,Central,624.0,BATTERY - SIMPLE ASSAULT,36.0,M,H,STREET,Invest Cont
211809667,Southeast,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),34.0,F,H,VEHICLE PASSENGER/TRUCK,Invest Cont
211214874,77th Street,940.0,EXTORTION,50.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
200114151,Central,330.0,BURGLARY FROM VEHICLE,33.0,M,K,PARKING UNDERGROUND/BUILDING,Invest Cont
200217221,Rampart,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),26.0,F,B,VEHICLE PASSENGER/TRUCK,Invest Cont
200714081,Wilshire,210.0,ROBBERY,41.0,M,H,SIDEWALK,Invest Cont
200513585,Harbor,210.0,ROBBERY,14.0,M,H,STREET,Invest Cont
210514710,Harbor,940.0,EXTORTION,21.0,M,H,SINGLE FAMILY DWELLING,Invest Cont
211315383,Newton,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,27.0,M,H,PARKING LOT,Invest Cont
210604888,Hollywood,860.0,BATTERY WITH SEXUAL CONTACT,57.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
222111868,Topanga,810.0,SEXUNLAWFUL(INC MUTUAL CONSENT PENETRATION W/ FRGN OBJ,14.0,F,W,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),Juv Other
211710900,Devonshire,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),53.0,F,H,PARKING LOT,Invest Cont
201415801,Pacific,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,44.0,M,B,TRANSPORTATION FACILITY (AIRPORT),Invest Cont
220216597,Rampart,330.0,BURGLARY FROM VEHICLE,42.0,M,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
201404825,Pacific,624.0,BATTERY - SIMPLE ASSAULT,23.0,F,H,TRANSPORTATION FACILITY (AIRPORT),Adult Arrest
210615783,Hollywood,761.0,BRANDISH WEAPON,28.0,M,B,STREET,Invest Cont
211513594,N Hollywood,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,42.0,F,W,STREET,Adult Arrest
201007294,West Valley,623.0,BATTERY POLICE (SIMPLE),28.0,M,O,DETENTION/JAIL FACILITY,Adult Arrest
210618057,Hollywood,440.0,THEFT PLAIN - PETTY ($950 & UNDER),28.0,M,W,GARAGE/CARPORT,Invest Cont
211007431,West Valley,440.0,THEFT PLAIN - PETTY ($950 & UNDER),29.0,M,B,SINGLE FAMILY DWELLING,Adult Other
210309730,Southwest,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,58.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
201904645,Mission,901.0,VIOLATION OF RESTRAINING ORDER,28.0,F,H,SINGLE FAMILY DWELLING,Adult Arrest
201213895,77th Street,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,31.0,M,H,ALLEY,Invest Cont
200807456,West LA,210.0,ROBBERY,39.0,M,W,PARKING LOT,Invest Cont
221111553,Northeast,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,55.0,F,H,BEAUTY/BARBER SHOP,Invest Cont
211111763,Northeast,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,26.0,M,H,STREET,Adult Other
201004411,West Valley,354.0,THEFT OF IDENTITY,66.0,F,W,SINGLE FAMILY DWELLING,Invest Cont
211010471,West Valley,761.0,BRANDISH WEAPON,51.0,M,H,PARKING LOT,Invest Cont
200900944,Van Nuys,210.0,ROBBERY,28.0,M,O,MINI-MART,Adult Arrest
201007613,West Valley,901.0,VIOLATION OF RESTRAINING ORDER,64.0,M,W,SINGLE FAMILY DWELLING,Invest Cont
212107044,Topanga,624.0,BATTERY - SIMPLE ASSAULT,28.0,F,H,STREET,Invest Cont
212107028,Topanga,662.0,BUNCO GRAND THEFT,29.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
220706308,Wilshire,210.0,ROBBERY,42.0,F,H,STREET,Invest Cont
210108348,Central,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,33.0,M,Z,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
200918755,Van Nuys,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),33.0,M,H,GAS STATION,Adult Arrest
200708278,Wilshire,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,29.0,M,H,STREET,Invest Cont
210816234,West LA,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,54.0,F,H,OTHER BUSINESS,Invest Cont
230209468,Rampart,440.0,THEFT PLAIN - PETTY ($950 & UNDER),21.0,M,F,RESTAURANT/FAST FOOD,Invest Cont
210209457,Rampart,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,27.0,M,H,STREET,Adult Arrest
201318096,Newton,624.0,BATTERY - SIMPLE ASSAULT,21.0,M,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
221109559,Northeast,310.0,BURGLARY,29.0,M,W,PUBLIC STORAGE,Invest Cont
212111317,Topanga,624.0,BATTERY - SIMPLE ASSAULT,50.0,F,O,NURSING/CONVALESCENT/RETIREMENT HOME,Invest Cont
200919036,Van Nuys,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,41.0,F,H,OTHER/OUTSIDE,Adult Other
210800615,West LA,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,24.0,M,W,SIDEWALK,Invest Cont
211316218,Newton,440.0,THEFT PLAIN - PETTY ($950 & UNDER),34.0,M,H,STREET,Invest Cont
201416828,Pacific,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),26.0,M,W,GARAGE/CARPORT,Invest Cont
201606573,Foothill,354.0,THEFT OF IDENTITY,22.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
210414548,Hollenbeck,310.0,BURGLARY,27.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
211312138,Newton,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),43.0,M,H,VEHICLE PASSENGER/TRUCK,Invest Cont
211911013,Mission,434.0,FALSE IMPRISONMENT,21.0,F,H,SINGLE FAMILY DWELLING,Adult Other
210606836,Hollywood,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,22.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
210511792,Harbor,624.0,BATTERY - SIMPLE ASSAULT,29.0,M,H,SINGLE FAMILY DWELLING,Adult Arrest
211206753,77th Street,761.0,BRANDISH WEAPON,37.0,F,B,SINGLE FAMILY DWELLING,Adult Arrest
210318091,Southwest,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),21.0,M,W,SINGLE FAMILY DWELLING,Invest Cont
221407297,Pacific,956.0,LETTERS LEWD  -  TELEPHONE CALLS LEWD,31.0,F,B,OTHER PREMISE,Invest Cont
221307849,Newton,624.0,BATTERY - SIMPLE ASSAULT,50.0,F,H,SIDEWALK,Invest Cont
200106171,Central,901.0,VIOLATION OF RESTRAINING ORDER,23.0,F,H,OTHER STORE,Adult Other
211817949,Southeast,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,35.0,M,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
200316845,Southwest,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),56.0,F,O,VEHICLE PASSENGER/TRUCK,Invest Cont
211512230,N Hollywood,860.0,BATTERY WITH SEXUAL CONTACT,56.0,M,B,MTA BUS,Adult Other
201221843,77th Street,210.0,ROBBERY,68.0,M,O,PARKING LOT,Invest Cont
221613565,Foothill,440.0,THEFT PLAIN - PETTY ($950 & UNDER),41.0,M,H,PORCH RESIDENTIAL,Invest Cont
201305936,Newton,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,33.0,M,H,STREET,Invest Cont
210209492,Rampart,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,34.0,M,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
201009229,West Valley,310.0,BURGLARY,41.0,M,O,SINGLE FAMILY DWELLING,Invest Cont
202017242,Olympic,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),31.0,M,H,VEHICLE PASSENGER/TRUCK,Invest Cont
201313373,Newton,624.0,BATTERY - SIMPLE ASSAULT,31.0,M,H,STREET,Invest Cont
200504612,Harbor,354.0,THEFT OF IDENTITY,55.0,F,W,SINGLE FAMILY DWELLING,Invest Cont
201614182,Foothill,900.0,VIOLATION OF COURT ORDER,26.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
212010493,Olympic,624.0,BATTERY - SIMPLE ASSAULT,34.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
210116355,Central,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,31.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211215944,77th Street,761.0,BRANDISH WEAPON,45.0,M,H,STREET,Adult Arrest
210412801,Hollenbeck,354.0,THEFT OF IDENTITY,46.0,M,H,BANK,Invest Cont
210909767,Van Nuys,354.0,THEFT OF IDENTITY,35.0,M,H,AUTOMATED TELLER MACHINE (ATM),Invest Cont
211419218,Pacific,330.0,BURGLARY FROM VEHICLE,32.0,M,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211116182,Northeast,210.0,ROBBERY,19.0,M,H,STREET,Adult Arrest
211511828,N Hollywood,440.0,THEFT PLAIN - PETTY ($950 & UNDER),34.0,M,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
200913931,Van Nuys,624.0,BATTERY - SIMPLE ASSAULT,66.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
210210434,Rampart,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),37.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211815182,Southeast,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),52.0,M,B,VEHICLE PASSENGER/TRUCK,Invest Cont
210213046,Rampart,860.0,BATTERY WITH SEXUAL CONTACT,66.0,F,H,SIDEWALK,Invest Cont
211209350,77th Street,310.0,BURGLARY,52.0,M,W,GARAGE/CARPORT,Invest Cont
212109649,Topanga,624.0,BATTERY - SIMPLE ASSAULT,46.0,M,H,STREET,Adult Arrest
201110173,Northeast,330.0,BURGLARY FROM VEHICLE,74.0,M,A,GOLF COURSE*,Invest Cont
202016331,Olympic,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,61.0,M,H,SIDEWALK,Invest Cont
200909245,Van Nuys,330.0,BURGLARY FROM VEHICLE,60.0,M,W,STREET,Invest Cont
210214215,Rampart,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,53.0,M,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
210119712,Central,330.0,BURGLARY FROM VEHICLE,27.0,F,W,PARKING LOT,Invest Cont
211810835,Southeast,901.0,VIOLATION OF RESTRAINING ORDER,27.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
210305802,Southwest,888.0,TRESPASSING,41.0,M,A,SINGLE FAMILY DWELLING,Adult Arrest
211704881,Devonshire,624.0,BATTERY - SIMPLE ASSAULT,33.0,M,H,STREET,Invest Cont
211812252,Southeast,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,31.0,F,H,SINGLE FAMILY DWELLING,Adult Arrest
200317382,Southwest,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,21.0,F,W,STREET,Invest Cont
201906144,Mission,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),55.0,F,H,STREET,Invest Cont
200315477,Southwest,753.0,DISCHARGE FIREARMS/SHOTS FIRED,19.0,X,X,SIDEWALK,Invest Cont
200216304,Rampart,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,38.0,F,B,TRANSIENT ENCAMPMENT,Adult Other
211225715,77th Street,624.0,BATTERY - SIMPLE ASSAULT,42.0,M,B,SINGLE FAMILY DWELLING,Adult Other
210809934,West LA,310.0,BURGLARY,41.0,M,W,SINGLE FAMILY DWELLING,Adult Arrest
201211318,77th Street,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,28.0,F,H,STREET,Invest Cont
210900689,Van Nuys,440.0,THEFT PLAIN - PETTY ($950 & UNDER),60.0,M,W,SINGLE FAMILY DWELLING,Invest Cont
221613935,Foothill,354.0,THEFT OF IDENTITY,37.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
211222294,77th Street,624.0,BATTERY - SIMPLE ASSAULT,42.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
220618693,Hollywood,624.0,BATTERY - SIMPLE ASSAULT,37.0,M,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
210318223,Southwest,440.0,THEFT PLAIN - PETTY ($950 & UNDER),20.0,X,X,COLISEUM,Adult Arrest
210811143,West LA,480.0,BIKE - STOLEN,33.0,M,W,GARAGE/CARPORT,Invest Cont
211205463,77th Street,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,20.0,F,W,SINGLE FAMILY DWELLING,Adult Arrest
200413437,Hollenbeck,320.0,BURGLARY ATTEMPTED,37.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
200111826,Central,350.0,THEFT PERSON,36.0,M,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
201207355,77th Street,625.0,OTHER ASSAULT,21.0,F,B,STREET,Invest Cont
220110337,Central,354.0,THEFT OF IDENTITY,25.0,F,B,BANK,Invest Cont
201223370,77th Street,624.0,BATTERY - SIMPLE ASSAULT,16.0,M,B,YARD (RESIDENTIAL/BUSINESS),Adult Other
200206467,Rampart,668.0,EMBEZZLEMENT GRAND THEFT ($950.01 & OVER),19.0,X,X,OTHER BUSINESS,Adult Arrest
200315730,Southwest,624.0,BATTERY - SIMPLE ASSAULT,51.0,M,H,SINGLE FAMILY DWELLING,Invest Cont
212109451,Topanga,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),50.0,M,W,DEPARTMENT STORE,Adult Other
211612956,Foothill,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,81.0,F,W,YARD (RESIDENTIAL/BUSINESS),Invest Cont
210511518,Harbor,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),32.0,F,B,VEHICLE PASSENGER/TRUCK,Invest Cont
